Title,Search Volume,Trend Breakdown
Alabama football,1M+,"Vanderbilt football, Diego Pavia stun Alabama for first win vs AP No ..., 2024 Alabama football schedule: Dates, times, TV channels, scores, Does Alabama football defense get an F in Vandy loss? Our report ..., Alabama football loses to Vanderbilt: College football world reacts to ..., Alabama football loses at Vanderbilt. Here&#39;s how the upset happened, Vanderbilt upsets No. 1 Alabama in first-ever win over top 5 team ..., Vanderbilt leads No. 1 Alabama 23-14 at halftime, Alabama Football vs. Vanderbilt: Second Half Open Thread"
National Hurricane Center,200K+,"Milton forms in Gulf of Mexico, forecast to hit Florida&#39;s Gulf Coast as ..., Tropical Storm Milton forms just days after Hurricane Helene&#39;s ..., Less than 10 days after Helene made landfall, Florida braces for ..., NHC: Tropical Storm Milton churning in Gulf, could impact Florida as ..., Florida faces the daunting prospect of another strong hurricane, Tropical Storm Milton tracker: Major hurricane forecast to slam Florida, Tropical Storm Milton could become major hurricane before Florida ..."
Phillies,200K+,"Phillies finalize National League Division Series roster, Wheeler&#39;s historic Game 1 gem turned aside after &#39;pen meltdown, Instant analysis: Mets&#39; bats come alive late again to take NLDS ..., Phillies vs NY Mets: Live score, updates, lineups for NLDS Game 1, Mets get more late magic, rallying to stun Phillies in NLDS opener ..., Philadelphia Phillies Fall in Game One of NLDS Despite Gem from ..., Phillies vs. Mets, NLDS schedule 2024: Where to watch MLB playoff ..., Phillies announce NLDS roster vs. Mets, Phillies manager Rob Thomson talks best defensive combination in ..., Will This Philadelphia Phillies Pitcher be a &quot;Secret Weapon&quot; for ..."
Texas A&M football,200K+,"Football Suffers Season&#39;s First Loss at No. 25 Texas A&amp;M, Texas A&amp;M vs. Missouri: Aggies dominate No. 9 Tigers in Conner ..., Mizzou football crushed at Texas A&amp;M. What happened in Missouri ..., Opinion: Texas A&amp;M unmasks No. 9 Missouri as a fraud, while ..., Missouri football rankings: How far will Tigers fall in top 25 after loss ..., What time, TV channel is Missouri vs Texas A&amp;M football on today ..., Texas A&amp;M vs. Missouri odds, spread, line: 2024 college football ..."
Real Madrid,200K+,"Real Madrid 2-0 Villarreal (Oct 5, 2024) Game Analysis - ESPN, Real Madrid beats Villarreal 2-0 in La Liga but loses Carvajal to leg ..., Real Madrid Player Ratings: Los Blancos Extend La Liga Unbeaten ..., La Liga Soccer Livestream: How to Watch Real Madrid vs. Villareal ..., Real Madrid 2-0 Villarreal: Valverde, Vinicius fire Los Blancos to ..., Real Madrid starting line-up to face Villarreal, CONFIRMED lineups: Real Madrid vs Villarreal, 2024 La Liga"
Iowa football,200K+,"Ohio State vs. Iowa live stream, where to watch, TV channel ..., Iowa at Ohio State: Score updates, highlights, stats and more, Iowa Hawkeyes at Ohio State: Live Updates, Results and Game ..., What channel is Iowa football vs. Ohio State on today? Time, TV ..., Ohio State vs. Iowa football livestreams: kickoff time, streaming deals ..., Ohio State football vs Iowa: Buckeyes win 35-7. Replay, How To Watch NCAA Football: Iowa vs. Ohio State kickoff time, how ..."
Alex Pereira,100K+,"UFC 307 live results: Alex Pereira vs. Khalil Rountree Jr ..., UFC 307 -- Alex Pereira vs. Khalil Rountree Jr.: Fight card, odds ..., UFC 307 Alex Pereira vs. Khalil Rountree Jr.: Watch Livestream ..., UFC 307: Alex Pereira vs. Khalil Rountree Card, TV Channel, Start ..., Alex Pereira Net Worth 2024: How much does Alex Pereira get paid ..., Alex Pereira vs. Khalil Rountree: Odds, full fight preview and ..., UFC 307: Alex Pereira vs. Khalil Rountree live stream watch party, UFC 307 Results: Winners And Losers From Pereira Vs. Rountree ..."
Auburn vs Georgia,100K+,"What channel is Auburn vs Georgia on today? Time, TV schedule for ..., Auburn football vs Georgia live score: Updates on Tigers first SEC ..., Georgia vs. Auburn live stream, where to watch, TV channel ..., What channel is Georgia vs. Auburn on today? Time, TV schedule to ..., Georgia Football vs Auburn Score; Live Updates, What time, TV channel is Georgia vs Auburn football on today? Free ..., UGA vs. Auburn football livestreams: kickoff time, streaming deals ..."
Guardians,100K+,"5 runs, no outs: Guardians pounce on Tigers in ALDS opener, Lane Thomas&#39; homer propels Guardians past Tigers in ALDS ..., Guardians Blitz Tigers Early, Open ALDS In Style With Convincing ..., Cleveland Guardians crush Detroit Tigers with huge first inning in ..., Guardians RHP Ben Lively left off ALDS roster vs. Tigers - ESPN, Guardians vs. Tigers prediction, odds, line, time: 2024 ALDS Game ..., Detroit Tigers vs. Cleveland Guardians ALDS Game 1 score: Game ..., Guardians Manager Explains &#39;Really Hard Decisions&#39; With ALDS ..., Guardians storm into postseason with big win against Tigers, Cleveland Guardians roster announced for ALDS to start MLB ..."
SMU football,100K+,"What TV channel is Louisville vs SMU football on today? Free live ..., Louisville vs SMU: Score, highlights from Week 6 college football ..., Louisville Football Falls to SMU for First ACC Loss, Louisville football vs. SMU final odds and prediction, Jennings has best game of career as SMU holds on to beat No. 22 ..., SMU beats No. 22 Louisville, 34–27, to take pole position in ACC ..., How to watch SMU Mustangs vs. #22 Louisville football: Time, TV ..."
Bad Blood 2024,100K+,"WWE Bad Blood 2024 live results: Winners, highlights and analysis ..., WWE Bad Blood 2024: Winners, live match results, highlights, grades, WWE Bad Blood 2024 start time, how to watch, live stream, match ..., 2024 WWE Bad Blood card, date, matches, match card, predictions ..., WWE Bad Blood 2024: Live updates, results, grades, and analysis, 2024 WWE Bad Blood predictions, card, PPV preview, start time ..., WWE Bad Blood 2024 Results As CM Punk Beats Drew McIntyre In ..., WWE Bad Blood 2024 Results: CM Punk Defeats Drew McIntyre In ..., WWE Bad Blood 2024 Results: Winners, Live Grades, Reaction and ..., WWE Bad Blood Livestream: How To Watch Wrestling Online Stream"
South Carolina football,100K+,"Ole Miss football vs South Carolina: Final score, highlights from ..., South Carolina vs Ole Miss: Final score, highlights from Week 6 game, What time, TV channel is Ole Miss vs South Carolina football on ..., Final: South Carolina falls 27-3 to Ole Miss at home, South Carolina Gamecocks vs. Ole Miss Rebels: How to watch ..., Final Score Predictions: Ole Miss Football vs. South Carolina, 325-pound JJ Pegues runs for 2 TDs as No. 12 Ole Miss posts 27-3 ..."
UCLA vs Penn State,50K+,"Penn State vs. UCLA live stream, where to watch, TV channel ..., What time, TV channel is UCLA vs Penn State football on today ..., Penn State football struggles, survives vs UCLA: Does offense ..., Penn State 27-11 UCLA (Oct 5, 2024) Game Recap - ESPN, Penn State vs. UCLA football livestreams: kickoff time, streaming ..., UCLA Football: Ethan Garbers Out at QB, Justyn Martin Starts vs ..., Three takeaways from Penn State football&#39;s 27-11 win over UCLA ..."
Man City vs Fulham,50K+,"Manchester City vs Fulham LIVE: Premier League result and ..., Premier League Soccer: Livestream Man City vs. Fulham From ..., Kovacic at the double as City edge past Fulham, Man City vs Fulham LIVE! Premier League result, match stream ..., Watch Manchester City vs. Fulham live stream, Man City player ratings vs Fulham: Erling Haaland, where were you ..., Manchester City vs. Fulham LIVE STREAM (10/5/24): Time, TV ..."
Inter Miami  Toronto,50K+,"Lionel Messi, Inter Miami rely on late goal to keep MLS record ..., Messi, Suarez come off bench, Campana scores late, Inter Miami ..., Toronto FC 0-1 Inter Miami: summary, score, goals, highlights MLS, Inter Miami dampens Toronto FC&#39;s postseason hopes with 1-0 victory, MATCH RECAP: Inter Miami CF Defeats Toronto FC 0-1 in Final ..., Inter Miami vs. Toronto FC LIVE STREAM (10/5/24): Watch Messi ..., Messi comes on in 2nd half to loud ovation, Inter Miami scores late ..."
Romeo Doubs,50K+,"Packers suspend Romeo Doubs one game for missing practices ..., Packers suspend wide receiver Romeo Doubs for Sunday&#39;s game, Romeo Doubs landing spots: Potential trade destinations for ..., Packers announce roster moves, Packers receiver Romeo Doubs suspended by team, doesn&#39;t make ..., Packers suspend WR Romeo Doubs 1 game for &#39;conduct ..., Green Bay Packers suspend WR Romeo Doubs for game versus ..."
Pitt football,50K+,"Pitt Powers Past North Carolina, 34-24, Pitt football | Five takeaways from the Panthers&#39; win at North Carolina, Why did Eli Holstein transfer to Pitt? Former Alabama QB dominating ..., Recap: Pitt Wins in Chapel Hill for the First Time, Improves to 5-0, What time, TV channel is North Carolina vs Pitt football on today ..., UNC football falls to Pitt, 34-24, in third-straight loss, Another week, another loss: 3 takeaways from UNC football&#39;s 34-24 ..., Still perfect Pitt survives sloppiness, earns 1st road win over North ..."
Boise State football,50K+,"A platoon at center? With starter out for season, Boise State is ..."
Elon Musk,20K+,"Elon Musk makes first appearance at Trump rally casting election in ..., Elon Musk Spoke at a Trump Rally, Referenced &#39;Dark MAGA,&#39; and ..., Elon Musk Speaks At Donald Trump Rally, Calls Himself “Dark ..., Trump returns to Butler, Pennsylvania, after assassination attempt ..., Hear Elon Musk&#39;s remarks at Trump&#39;s rally in Butler, Pennsylvania ..., Elon Musk joined Donald Trump at Butler, Pennsylvania campaign ..., Musk urges Trump supporters to vote during brief appearance at ..., Elon Musk urges rally attendees to “vote, vote, vote” during Butler ..., &#39;Dark MAGA&#39; Elon Musk rallies onstage with Trump in Pennsylvania, Trump Rallies With Elon Musk at Site of Assassination Attempt"
Arsenal vs Southampton,20K+,"Arsenal vs Southampton LIVE: Premier League result and reaction ..., Premier League Soccer: Livestream Arsenal vs. Southampton From ..., Arsenal 3-1 Southampton Stats: Bukayo Saka Heaps More Misery ..., Watch Arsenal vs. Southampton live stream, Arsenal ratings: Saka, Havertz dominate over Southampton - ESPN, Arsenal 3-1 Southampton: Bukayo Saka inspires Arsenal win after ..., Arsenal vs. Southampton odds, prediction, pick: Premier League live ..."
